Word,Match Type,Language,Type,Severity,Substring Match,Language,Type,Severity,Substring Match,...
Metalness,not_exact,,,,ln,en,Disney,none
cutiepanda,not_exact,,,,panda,en,Disney,none
manarchy,not_exact,,,,anarchy,en,Threats,none
arlenegetman,not_exact,,,,neg,en,Disney,none
minegzm,not_exact,,,,neg,en,Disney,none
YodaFan19283,not_exact,,,,n19,en,Bigotry-Racism;Vulgarity,high
JackSkellington1990,not_exact,,,,n19,en,Bigotry-Racism;Vulgarity,high
Disneyfan1995,not_exact,,,,n19,en,Bigotry-Racism;Vulgarity,high
Pandapops,not_exact,,,,panda,en,Disney,none
PandaGameplays,not_exact,,,,panda,en,Disney,none
poohpanda,not_exact,,,,panda,en,Disney,none
DisneyFan1978,not_exact,,,,n19,en,Bigotry-Racism;Vulgarity,high
lorneswag,not_exact,,,,swag,en,Disney,none
kordelswag12,not_exact,,,,swag,en,Disney,none
Karn1995,not_exact,,,,n19,en,Bigotry-Racism;Vulgarity,high
Python0256,not_exact,,,,python,en,Disney,none
NegativePi,not_exact,,,,neg,en,Disney,none
Eliweisheit,not_exact,,,,sheit,en,Microsoft;Vulgarity,high
RebelNine,not_exact,,,,ln,en,Disney,none
eternalnem,not_exact,,,,ln,en,Disney,none
nadelno,not_exact,,,,ln,en,Disney,none
Yanully,not_exact,,,,null,en,Disney,none
shata28,not_exact,,,,shat,en,Microsoft;Vulgarity,high
diman1910,not_exact,,,,n19,en,Bigotry-Racism;Vulgarity,high
letmehave,not_exact,,,,meh,en,Disney,none
FLASHYTIGER,not_exact,,,,shyt,en,Microsoft;Vulgarity,high
flashdaPAST12,not_exact,,,,pas,en,Disney,none
nashito28,not_exact,,,,shit,en,Microsoft;Vulgarity,high
Silnat,not_exact,,,,ln,en,Disney,none
anderon19920,not_exact,,,,n19,en,Bigotry-Racism;Vulgarity,high
handsomehathi,not_exact,,,,meh,en,Disney,none
iLNYRCHIK,not_exact,,,,ln,en,Disney,none
Manon1995,not_exact,,,,n19,en,Bigotry-Racism;Vulgarity,high
enistein1972000,not_exact,,,,n19,en,Bigotry-Racism;Vulgarity,high
paulmitten,not_exact,,,,mitt,en,Disney,none
SwaggerJagger,not_exact,,,,swag,en,Disney,none
AndrewKatieJack,not_exact,,,,ejac,en,Grooming;Microsoft;Sexual,high
pasifika,not_exact,,,,pas,en,Disney,none
onegoofymom,not_exact,,,,neg,en,Disney,none
xXxMolnia,not_exact,,,,ln,en,Disney,none
Molniy,not_exact,,,,ln,en,Disney,none
mehdidaoud,not_exact,,,,meh,en,Disney,none
swagg6738,not_exact,,,,swag,en,Disney,none
funfupanda2,not_exact,,,,panda,en,Disney,none
Pasha1112,not_exact,,,,pas,en,Disney,none
Sxuxxmanegg99,not_exact,,,,neg,en,Disney,none
NEGAScottPilgrim,not_exact,,,,neg,en,Disney,none
swagg_,not_exact,,,,swag,en,Disney,none
elkapaso321,not_exact,,,,pas,en,Disney,none
SohailN,not_exact,,,,ln,en,Disney,none
coolninja4900,not_exact,,,,ln,en,Disney,none
disneyrocker101,not_exact,,,,rocker,en,Disney,none
Joordan1987,not_exact,,,,n19,en,Bigotry-Racism;Vulgarity,high
smooththur,not_exact,,,,smooth,en,Disney,none
saahilswagger1,not_exact,,,,swag,en,Disney,none
sudman194,not_exact,,,,n19,en,Bigotry-Racism;Vulgarity,high
Pandaa18,not_exact,,,,panda,en,Disney,none
mrdominiq,not_exact,,,,niq,en,Bigotry-Racism;Microsoft;Vulgarity,high
aiden1968,not_exact,,,,n19,en,Bigotry-Racism;Vulgarity,high
infokasia,not_exact,,,,fok,en,Vulgarity,high
HipsterSwaggy,not_exact,,,,swag,en,Disney,none
GRAFOK,not_exact,,,,fok,en,Vulgarity,high
Darren1973,not_exact,,,,n19,en,Bigotry-Racism;Vulgarity,high
snegyroha,not_exact,,,,neg,en,Disney,none
focus1152,not_exact,,,,foc,en,Vulgarity,high
Nikitacool123,not_exact,,,,taco,en,Disney,none
jamieSWAG2013,not_exact,,,,swag,en,Disney,none
d-man1901,not_exact,,,,n19,en,Bigotry-Racism;Vulgarity,high
pandacrevette,not_exact,,,,panda,en,Disney,none
Mighty Mjolnir,not_exact,,,,ln,en,Disney,none
applejackandpinkiepie,not_exact,,,,ejac,en,Grooming;Microsoft;Sexual,high
m.s.is,not_exact,,,,.is,en,Disney,none
Edelseiln,not_exact,,,,ln,en,Disney,none
SwagAngel45,not_exact,,,,swag,en,Disney,none
Coen1980,not_exact,,,,n19,en,Bigotry-Racism;Vulgarity,high
swaggbash15,not_exact,,,,swag,en,Disney,none
socalnana,not_exact,,,,ln,en,Disney,none
maryelis la negrita,not_exact,,,,neg,en,Disney,none
Mazin1989,not_exact,,,,n19,en,Bigotry-Racism;Vulgarity,high
swag0085835,not_exact,,,,swag,en,Disney,none
Juan199815,not_exact,,,,n19,en,Bigotry-Racism;Vulgarity,high
supercoolninja50,not_exact,,,,ln,en,Disney,none
Smitty4571,not_exact,,,,mitt,en,Disney,none
kaykaymcswagger,not_exact,,,,swag,en,Disney,none
Dj Swag eR,not_exact,,,,swag,en,Disney,none
swaghand,not_exact,,,,swag,en,Disney,none
musrocker,not_exact,,,,rocker,en,Disney,none
Swagcash88,not_exact,,,,swag,en,Disney,none
hazelnut07,not_exact,,,,ln,en,Disney,none
ATFOCI,not_exact,,,,foc,en,Vulgarity,high
uniquely_jenn,not_exact,,,,niq,en,Bigotry-Racism;Microsoft;Vulgarity,high
Mathen19,not_exact,,,,n19,en,Bigotry-Racism;Vulgarity,high
GirlyGirlSwag,not_exact,,,,swag,en,Disney,none
mccracken1994,not_exact,,,,n19,en,Bigotry-Racism;Vulgarity,high
disneywillneverend,not_exact,,,,ln,en,Disney,none
hgfvgfugfokgfg,not_exact,,,,fok,en,Vulgarity,high
angrybirdswaggg,not_exact,,,,swag,en,Disney,none
disneyshan1990,not_exact,,,,n19,en,Bigotry-Racism;Vulgarity,high
socblns,not_exact,,,,ln,en,Disney,none
jackskellington1997,not_exact,,,,n19,en,Bigotry-Racism;Vulgarity,high
mehmet yildiz,not_exact,,,,meh,en,Disney,none
doodleswag,not_exact,,,,swag,en,Disney,none
rainingintacoma,not_exact,,,,taco,en,Disney,none
mehdi91940,not_exact,,,,meh,en,Disney,none
Pandamaka1,not_exact,,,,panda,en,Disney,none
awalswag100%,not_exact,,,,swag,en,Disney,none
DAMOSWAG,not_exact,,,,swag,en,Disney,none
pas0314,not_exact,,,,pas,en,Disney,none
TheBigFatPanda,not_exact,,,,panda,en,Disney,none
Nullfirestar2,not_exact,,,,null,en,Disney,none
TextingFREAK9,not_exact,,,,texting,en,Disney,none
Fucian,not_exact,,,,fuc,en,Vulgarity,high
djsmooth123,not_exact,,,,smooth,en,Disney,none
dustywalnuts,not_exact,,,,ln,en,Disney,none
eQHTfoc1ktt7,not_exact,,,,foc,en,Vulgarity,high
swaggerprince,not_exact,,,,swag,en,Disney,none
krillen1986,not_exact,,,,n19,en,Bigotry-Racism;Vulgarity,high
mrsAnarchy,not_exact,,,,anarchy,en,Threats,none
Anayarocker000,not_exact,,,,rocker,en,Disney,none
kaityrocker10052000,not_exact,,,,rocker,en,Disney,none
CG_LNOWQFIX,not_exact,,,,ln,en,Disney,none
Kilnorg,not_exact,,,,ln,en,Disney,none
kj_swag_11k,not_exact,,,,swag,en,Disney,none
lynn1960,not_exact,,,,n19,en,Bigotry-Racism;Vulgarity,high
swagger2313,not_exact,,,,swag,en,Disney,none
10smooth,not_exact,,,,smooth,en,Disney,none
swagged_outking16,not_exact,,,,swag,en,Disney,none
rastataco234,not_exact,,,,taco,en,Disney,none
pashnik15,not_exact,,,,pas,en,Disney,none
swaggxxoo15,not_exact,,,,swag,en,Disney,none
XuxoNegrete,not_exact,,,,neg,en,Disney,none
swaginfl1234,not_exact,,,,swag,en,Disney,none
Rodrigocpas,not_exact,,,,pas,en,Disney,none
swaggston69,not_exact,,,,swag,en,Disney,none
SAJIN1998,not_exact,,,,n19,en,Bigotry-Racism;Vulgarity,high
aqwln,not_exact,,,,ln,en,Disney,none
THEjpsmooth,not_exact,,,,smooth,en,Disney,none
chispasase,not_exact,,,,pas,en,Disney,none
Irolnieman,not_exact,,,,ln,en,Disney,none
bmckeon1998,not_exact,,,,n19,en,Bigotry-Racism;Vulgarity,high
Susy Vilner,not_exact,,,,ln,en,Disney,none
pandagamer3,not_exact,,,,panda,en,Disney,none
melvinswag,not_exact,,,,swag,en,Disney,none
pandamonium456,not_exact,,,,panda,en,Disney,none
SwaggyBoy75,not_exact,,,,swag,en,Disney,none
pastavizol,not_exact,,,,pas,en,Disney,none
CABALLO NEGRO,not_exact,,,,neg,en,Disney,none
vpash,not_exact,,,,pas,en,Disney,none
ROLNSLO,not_exact,,,,ln,en,Disney,none
pasaway70,not_exact,,,,pas,en,Disney,none
meviln,not_exact,,,,ln,en,Disney,none
mikeyswag1,not_exact,,,,swag,en,Disney,none
MrPandaMan7301,not_exact,,,,panda,en,Disney,none
GodShrimpTaco,not_exact,,,,taco,en,Disney,none
Swagger1234,not_exact,,,,swag,en,Disney,none
zulnurain,not_exact,,,,ln,en,Disney,none
erin1993,not_exact,,,,n19,en,Bigotry-Racism;Vulgarity,high
lilnotloc21,not_exact,,,,ln,en,Disney,none
the next renegade,not_exact,,,,neg,en,Disney,none
potyelnene,not_exact,,,,ln,en,Disney,none
JLNPiva9498,not_exact,,,,ln,en,Disney,none
cbrown1987,not_exact,,,,n19,en,Bigotry-Racism;Vulgarity,high
ssaulnet,not_exact,,,,ln,en,Disney,none
swag575,not_exact,,,,swag,en,Disney,none
Swimswagger8,not_exact,,,,swag,en,Disney,none
AmandaPanda2002,not_exact,,,,panda,en,Disney,none
Panda0906,not_exact,,,,panda,en,Disney,none
AugustoVenegas,not_exact,,,,neg,en,Disney,none
piletonga,not_exact,,,,tonga,en,Disney,none
santacorexs,not_exact,,,,taco,en,Disney,none
swaggforever23,not_exact,,,,swag,en,Disney,none
SherriPanda,not_exact,,,,panda,en,Disney,none
swag-pizza,not_exact,,,,swag,en,Disney,none
lnm525,not_exact,,,,ln,en,Disney,none
Craftsman1923,not_exact,,,,n19,en,Bigotry-Racism;Vulgarity,high
jenisenln,not_exact,,,,ln,en,Disney,none
pswags,not_exact,,,,swag,en,Disney,none
JJ SWAGGER #1,not_exact,,,,swag,en,Disney,none
rjswaggerpolo90,not_exact,,,,swag,en,Disney,none
swagalldayeveryday247,not_exact,,,,swag,en,Disney,none
SwaggaHolic234,not_exact,,,,swag,en,Disney,none
Lilnate909,not_exact,,,,ln,en,Disney,none
Vaccman1993,not_exact,,,,n19,en,Bigotry-Racism;Vulgarity,high
mrswag554,not_exact,,,,swag,en,Disney,none
tacobrodog,not_exact,,,,taco,en,Disney,none
Ananda panda,not_exact,,,,panda,en,Disney,none
Swagtastic619,not_exact,,,,swag,en,Disney,none
mik the king of swag,not_exact,,,,swag,en,Disney,none
mrs_uniqueedge,not_exact,,,,niq,en,Bigotry-Racism;Microsoft;Vulgarity,high
jnswagg,not_exact,,,,swag,en,Disney,none
papasonzolares,not_exact,,,,pas,en,Disney,none
