text,locale,variations,tags,severity,adjective,adverb,collapseDoubles,filterMode,noun,replacePhonetics,verb,definition,entryIgnores
:p-{[]},en,,AsciiArt;Disney;Sexual,medium,false,false,true,nonEmbeddable,false,true,false,,
<==8,en,,AsciiArt;Sexual,medium,false,false,true,exactMatch,false,true,false,,
<^>,en,,AsciiArt;Sexual,medium,false,false,true,exactMatch,false,true,false,,
=d,en,,AsciiArt;Sexual,medium,false,false,true,exactMatch,false,true,false,,
?'n iger,en,,Bigotry-Racism;Disney,medium,false,false,true,embeddable,false,true,false,,
[.],en,,AsciiArt;Disney;Sexual,medium,false,false,true,exactMatch,false,true,false,,
[admin],en,,Disney,mild,false,false,true,exactMatch,false,true,false,,
[gm],en,,Disney,mild,false,false,true,embeddable,false,true,false,shouldn't be talking about being a gm (moderator or character),
_-u,en,,AsciiArt;Disney,mild,false,false,true,nonEmbeddable,false,true,false,,
a as,en,,Disney;Vulgarity,mild,false,false,true,nonEmbeddable,false,true,false,,
a bad as,en,,Disney;Vulgarity,mild,false,false,true,embeddable,false,true,false,,
a big as,en,,Bullying;Disney;Sexual,mild,false,false,true,embeddable,false,true,false,,
a bo nor,en,,Disney;Sexual,medium,false,false,true,embeddable,false,true,false,,
a bore shin,en,,Disney,medium,false,false,true,embeddable,false,true,false,,
a but pirate,en,,Disney;Sexual,medium,false,false,true,embeddable,false,true,false,,
a chingadazos,es,,Disney;Harm-Abuse,medium,false,false,true,embeddable,false,true,false," to hit someone",
a fine as,en,,Disney;Sexual,medium,false,false,true,embeddable,false,true,false,,
a fog,en,,Bigotry-Racism;Bullying;Disney,medium,false,false,true,embeddable,false,true,false,,
a fog it,en,,Bigotry-Racism;Bullying;Disney,medium,false,false,true,embeddable,false,true,false,,
a great as,en,,Disney;Sexual,medium,false,false,true,embeddable,false,true,false,,
a gum,en,,Disney,mild,false,false,true,embeddable,false,true,false,,
a hitch,en,,Bullying;Disney,medium,false,false,true,embeddable,false,true,false,bitch,
a huevo,es,,Disney;Vulgarity,medium,false,false,true,embeddable,false,true,false,,
a jackgrass,en,,Disney;Vulgarity,medium,false,false,false,embeddable,false,false,false,,
a kit,en,,Disney;Sexual,mild,false,false,true,embeddable,false,true,false,kiss,
a more on,en,,Bullying;Disney,medium,false,false,true,embeddable,false,true,false,,
a my face,en,,Disney;PII,medium,false,false,true,embeddable,false,true,false,,
a nice as,en,,Disney;Sexual,medium,false,false,true,embeddable,false,true,false,,
a rap is,en,,Disney;Sexual,medium,false,false,true,embeddable,false,true,false,,
a vergazos,en,,Disney,medium,false,false,true,embeddable,false,true,false,,
a who are,en,,Disney;Vulgarity,medium,false,false,true,embeddable,false,true,false,,
a who r,en,,Disney;Vulgarity,medium,false,false,true,embeddable,false,true,false,,
a whole,en,,Disney;Vulgarity,medium,false,false,true,embeddable,false,true,false,,
a.k.,en,,Vulgarity,medium,false,false,true,embeddable,true,true,false,"Acronym of ""Ass-kisser."" or AK 47 gun.",
aamukanki,fi,,Sexual,high,false,false,true,embeddable,true,true,false,morning wood; erection,
aars,nl,reet,Vulgarity,high,false,false,true,nonEmbeddable,true,true,false,Ass,
aarsmade,nl,,Vulgarity,high,false,false,true,nonEmbeddable,true,true,false,Ass maggot,
aarsneuken,nl,reteneuker;retenneuker,Vulgarity,severe,false,false,true,nonEmbeddable,true,true,false,Ass fuck,
aashole,fi,asshole,Sexual;Vulgarity,high,false,false,true,embeddable,true,true,false,asshole,
aasi,fi,,Bullying,mild,true,false,true,exactMatch,true,false,false,stupid;literally donkey,
abaixar a bermuda,pt,,Sexual,medium,false,false,true,embeddable,false,true,true,,
abaixar as calças,pt,,Sexual,medium,false,false,true,embeddable,false,true,true,,
abaixar o shorts,pt,,Sexual,medium,false,false,true,embeddable,false,true,true,,
abaixar o vestido,pt,,Sexual,medium,false,false,true,embeddable,false,true,true,,
abanda,es,,Places,medium,false,false,false,nonEmbeddable,false,false,false,Ciudad de Alabama.,
abe,da,,Bullying,mild,false,false,false,embeddable,true,true,false,monkey,
abehjerne,da,,Bullying,medium,false,false,false,embeddable,true,true,false,monkey brain,
abemås,da,,Bullying,high,false,false,true,exactMatch,true,true,false,abemås,
aben,da,,Sexual,mild,false,false,false,nonEmbeddable,true,true,false,slang for male genitalia,åben
abigail,en,,Grooming;Sexual;Vulgarity,mild,false,false,true,embeddable,true,true,false,A middle-aged homosexual man who is in the closet.,
abo,en,abos,Microsoft,medium,false,false,false,exactMatch,false,false,false,,
abort,da,,Sexual,medium,false,false,false,embeddable,true,true,false,abortion,
abortar,es,,Harm-Abuse,medium,false,false,true,embeddable,false,true,true,,
abortar,pt,,Sexual,medium,false,false,true,embeddable,false,true,true,,
abortion,en,abortionist,Sexual,medium,false,false,true,embeddable,true,true,false,Termination of a pregnancy,
aborto,pt,,Sexual,medium,false,false,true,embeddable,true,true,false,Abortion is defined as the termination of pregnancy by the removal or expulsion from the uterus of a fetus or embryo prior to viability.,
abortti,fi,,Sexual,high,false,false,true,embeddable,true,true,false,abortion,
about to come,en,,Disney;Sexual,medium,false,false,true,embeddable,false,true,false,,
abrir as pernas,pt,,Sexual,medium,false,false,true,embeddable,false,true,true,,
abrir o zíper,pt,,Sexual,medium,false,false,true,embeddable,false,true,true,,
abruti,fr,abrutis,Vulgarity,medium,true,true,true,embeddable,true,true,true,,
absinth,en,@bs1nth;@bsinth;absinthe;absinthism,Alcohol-Drug,medium,false,false,true,embeddable,true,true,false,A liquor made from worm-wood that contains hallucinogens.,
absinto,pt,,Alcohol-Drug,medium,false,false,true,embeddable,true,true,false,,
abspritzen,de,,Sexual,medium,false,false,true,embeddable,false,true,true,,
abspritzer,de,,Sexual,medium,false,false,true,embeddable,true,true,false,,
abstinence,fr,,Sexual,medium,true,true,true,embeddable,true,true,true,,
abusar,es,abusa de mi;abusando de mi;abusando de ti;abusar de mi;abusar de ti;abusarás de mi;abusaré de ti;abusaste de mi;abuso de mi;abuso de ti,Harm-Abuse;Sexual,medium,false,false,true,embeddable,false,true,true,,
abusar,pt,,Alcohol-Drug;Harm-Abuse;Sexual;Threats,medium,false,false,true,nonEmbeddable,false,true,true,To abuse.,
abuse,en,,Alcohol-Drug;Harm-Abuse,medium,false,false,true,embeddable,false,true,true,To use drugs consistently and without the ability to stop.,
abuser,en,,Alcohol-Drug;Harm-Abuse,medium,false,false,true,embeddable,true,true,false,Someone who abuses drugs/living things.,
abusive,en,,Alcohol-Drug;Harm-Abuse,medium,true,false,true,embeddable,false,true,false,To use drugs consistently and without the ability to stop.,
abusively,en,,Alcohol-Drug,medium,false,true,true,embeddable,false,true,false,To use drugs consistently and without the ability to stop.,
abusiveness,en,,Alcohol-Drug,medium,false,false,false,embeddable,true,false,false,To use drugs consistently and without the ability to stop.,
abuso,pt,,Sexual,medium,false,false,true,embeddable,false,true,true,,
acabada,es,,Disney,mild,false,false,true,embeddable,false,true,false,,
acabar,es,acabar adentro;acabar afuera;acabar en mi;acabar en ti,Disney,mild,false,false,true,embeddable,false,true,false,,
