text,locale,variations,tags,severity,adjective,adverb,collapseDoubles,filterMode,noun,replacePhonetics,verb,definition,entryIgnores
сцан, ru, ссал;ссан;ссат;ссац;сцак;сцал;сцан;сцат, Microsoft;Vulgarity, severe, false, true, true, embeddable, false, true, false, 
natrona, es, , Places, medium, false, false, false, nonEmbeddable, false, false, false, Ciudad de Wyoming.
inglewood, es, , Places, medium, false, false, false, exactMatch, false, false, false, Ciudad de California.
сцат, ru, ссал;ссан;ссат;ссац;сцак;сцал;сцан;сцат, Microsoft;Vulgarity, severe, false, true, true, embeddable, false, true, false, 
liskodisko, fi, , Alcohol-Drug, medium, false, false, true, nonEmbeddable, true, true, false, the night after having too much to drink after a few nights in a row. You feel terrible. Literally means 'lizard disco'
erotismo, es, aneros;bathmate;bomba de vacio;condomi;condonia;consolador;dominator;dominatrix;durex;erotica;eroticas;erotico;erotismo;flip hole;gomorra;juguete sexual;lubricante;masturbadores;prime;sadomasoquista;sadomizar;sicco;sodoma;sádico;vibrador, Sexual, medium, false, false, true, embeddable, true, true, false, , bomb
хачяр, ru, хачар;хачил;хачяр, Bigotry-Racism, severe, false, false, true, embeddable, true, true, false, 
сцак, ru, ссал;ссан;ссат;ссац;сцак;сцал;сцан;сцат, Microsoft;Vulgarity, severe, false, true, true, embeddable, false, true, false, 
neukdoos, nl, , Vulgarity, high, false, false, true, nonEmbeddable, true, true, false, Fuck box
tispes, no, tisp;tispenes;tisper;tispers;tispes, Microsoft;Vulgarity, severe, false, false, false, embeddable, true, false, false, bitch
shirakko, ja, shirakko;シラッコ, Bigotry-Racism, high, false, false, true, embeddable, false, true, false, alibinism; derogatory
pretinha, pt, , Bigotry-Racism, medium, true, false, true, embeddable, false, true, false, 
pirujita, es, , Microsoft, medium, false, false, true, embeddable, false, true, false, 
bayamo, es, , Places, medium, false, false, false, nonEmbeddable, false, false, false, City in Cuba
hampden, es, , Places, medium, false, false, false, nonEmbeddable, false, false, false, Ciudad de Massachusetts.
megargel, es, , Places, medium, false, false, false, nonEmbeddable, false, false, false, Ciudad de Alabama.
purke, no, , Bullying;Microsoft, high, false, false, false, embeddable, true, false, false, pig;ugly female
bostoes, pt, bostao;bostinhas;bostoes;bostona;bostonas;bostão;bostões, Disney;Microsoft, high, false, false, true, embeddable, true, true, false, shit
flommefed, da, , Bullying, high, true, false, true, exactMatch, true, true, false, flommefed
jap, ja, jap;jappu;ジャップ, Bigotry-Racism, high, false, false, true, embeddable, false, true, false, Jap; Japanese; derogatory
ポコチン, ja, pokochin;ポコチン, Microsoft;Sexual;Vulgarity, severe, false, false, true, embeddable, false, true, false, Cock; Dick; Slang
emelle, es, , Places, medium, false, false, false, nonEmbeddable, false, false, false, Ciudad de Alabama.
layjob, da, lay job;lay-job, Sexual, severe, false, false, false, embeddable, true, true, false, oral sex
もうこしょう, ja, moukoshou;もうこしょう;モウコショウ, Bigotry-Racism, high, false, false, true, embeddable, false, true, false, person with down syndrome; derogatory
cafiolo, es, cafiolo;cafisho;carajear;chula;chulo;pachuco;pimp, Sexual, medium, false, false, true, embeddable, false, true, false, 
copulation, fr, , Sexual, medium, true, true, true, embeddable, true, true, true, 
chujowy, pl, , Vulgarity, severe, true, false, true, nonEmbeddable, false, true, false, "Fucked, shitty"
riquelme, es, , Names-Last, medium, false, false, false, embeddable, false, false, false, 
チホウショウ, ja, chihoushou;ちほうしょう;チホウショウ, Bigotry-Racism, high, false, false, true, embeddable, false, true, false, dementia; derogatory
seringão, pt, seringuinha;seringão;siringa, Alcohol-Drug, medium, false, false, true, embeddable, true, true, false, 
flagstaff, es, , Places, medium, false, false, false, nonEmbeddable, false, false, false, Ciudad de Arizona.
ショウネンアイ, ja, shounenai;しょうねんあい;ショウネンアイ, Microsoft;Sexual;Vulgarity, severe, false, false, true, embeddable, false, true, false, Pedophilia (boy subject)
巨乳, ja, kyonyu;きょにゅう;キョニュウ, Microsoft;Sexual;Vulgarity, severe, false, false, true, embeddable, false, true, false, huge tits; Slang
トリバディズム, ja, toribadizumu;トリバディズム;トリバディズムをする, Microsoft;Sexual;Vulgarity, high, false, false, true, embeddable, false, true, false, tribadism; from English; Toribadizumu
everett, es, , Places, medium, false, false, false, nonEmbeddable, false, false, false, Ciudad de Washington.
スワッピング, ja, suwappingu;スワッピング, Microsoft;Sexual;Vulgarity, severe, false, false, true, embeddable, false, true, false, sex swapping; from English
chujowo, pl, , Vulgarity, high, true, false, true, nonEmbeddable, false, true, false, Bitchin
bicchi, ja, bicchi;ビッチ, Sexual;Vulgarity, high, false, false, true, embeddable, false, true, false, Bitch;  from English; Swearword
svaber, da, , Sexual, medium, false, false, false, embeddable, true, true, false, penis
retalhuleu, es, , Places, medium, false, false, false, nonEmbeddable, false, false, false, City in Honduras 
taztoz, ar, 6az6oz;6ez;6eze;taztoz;tez;teze;tyaz;طزطوز;طياز;طيزي, Sexual;Vulgarity, high, false, false, false, embeddable, false, false, false, ass
grayson, es, , Places, medium, false, false, false, nonEmbeddable, false, false, false, Ciudad de Alabama.
chingate, es, , Vulgarity, mild, false, false, true, embeddable, false, true, true, f u
ゴマスリ, ja, , Microsoft, medium, false, false, true, embeddable, false, true, false, 
小児ポルノ, ja, shouniporuno;しょうにポルノ;ショウニポルノ;小児ポルノ, Microsoft;Sexual;Vulgarity, severe, false, false, true, embeddable, false, true, false, child pornography
twit, da, , Bullying, high, true, false, true, exactMatch, true, false, false, twit
areoula, pt, areoula;aréula, Sexual, medium, false, false, true, nonEmbeddable, true, true, false, The colored ring around a woman's nipple.
elmore, es, , Places, medium, false, false, false, nonEmbeddable, false, false, false, Ciudad de Alabama.
ケトウジン, ja, ketoujin;けとうじん;ケトウジン, Bigotry-Racism, high, false, false, true, embeddable, false, true, false, caucasian; derogatory
gitannes, es, advance;american jean's;b&h;baronet;belmont;cachaspirina;café crème holandeses;capri;capstan navy cut;chestrefield;cigarrillo;commanders;derby;du maurier;el huasito;embassy;eve;export;export”a”;faros;gitannes;gold coast;habano;john player & sons;kent;kools;l&m;latino;le mans;liberty;liggett select;lucky strike;mayfair;newport;newral;pall mall;parisiennes;parliament;peter stuyvesant;pitillo;prelude;puro;regal;rodeo;supremos;tigres;viceroy;winston, Alcohol-Drug, mild, false, false, true, embeddable, true, true, false, , peter pan
potorro, es, ario;arrivista;asshole;balurdo;bastardo;bebota;befa;bitch;blade;blenorrea;bobita;bobito;bode;bofe;boludito;borrero;bostero;braguetero;broca;bruto;buey;bugarrón;cabrado;cacreca;cafiche;cagado;cagueta;cagón;calato;carechimba;castrado;cerda;cerdo;cerote;chacha;chacho;chafalote;chaira;chancha;chanchita;chancho;chcuhumeca;chichona;chimar;chirrete;chirri;chivo;chocote;cholo;choncha;choncho;chopo;choro;chucha;chucho;chuchumeca;chuco;chumino;chunchurria;chupete;cipotón;cochón;colero;comemierda;corroncho;descojono;desgraciado;desmadrado;dot;dxk;déspota;enano;escoria;estúpido;fachita;fea;felpudita;feo;firro;fofa;fofo;fregado;frijolero;fuck;fundillo;gabacho;gamin;garnufia;gigolo;golli;golly;gonochachurria;gonochanchurria;gorda;gordo;gorsovia;greengo;gringo;guaca;guache;guacho;guanajo;guano;guevon;herofilo;hinchapelotas;hocicón;huacha;huachos;huevada;iguazo;imbecil;inepto;infradotado;inga tu;insultar;insultos;jaina;lambehuevos;lamehuevos;lechera;lechero;lechona;lechón;limada;lujuria;lujurioso;maldito;malnacida;malnacido;maniaco;marrano;marranoa;menso;mocha;mocho;mocoso;moro;naca;nalgas;negro;nigger;ogt;ouerco;pacaya;papanatas;pargo;partes nobles;pashpa;pechoca;pelotudo;pepa;perverso;pesquesuda;petiso;pichurria;piojoso;piricuaro;pirula;pisto;pitaya;plebe;pocho;pogo;potorro;puerca;puerco;punga;putón;puñetero;rata;retrasado;rosquero;shit;sinfiate;sisimite;sorcho;soreco;soreta;sorete;soretear;suato;subnormal;sucia;síndrome de down;tayudo;tetona;tolete;tonta;tontita;tontito;tonto;troncho;trunco;tungo;turro;uache;uacho;vergajo;wache;wey;wogg;yegua;yesco;zopenco;zorrón;ñanga;ñero, Bullying;Microsoft, medium, false, false, true, embeddable, true, true, true, , echo;orro;syndrome;síndrome;tonto
яйцеглот, ru, , Vulgarity, severe, false, false, true, nonEmbeddable, false, true, false, 
назвиздеть, ru, , Microsoft, medium, false, false, true, embeddable, false, true, false, 
zehn, de, acht;drei;elf;fünf;neun;sechs;sieben;vier;zehn;zwei;zwölf, Numbers, medium, false, false, true, embeddable, false, true, false, "German numbers, 1 through 12"
oviedo, es, , Places, medium, false, false, false, nonEmbeddable, false, false, false, City in España
vaca, pt, vaca vaca, Bullying;Vulgarity, medium, false, false, true, embeddable, true, true, false, Bitch in portuguese
l&m, es, advance;american jean's;b&h;baronet;belmont;cachaspirina;café crème holandeses;capri;capstan navy cut;chestrefield;cigarrillo;commanders;derby;du maurier;el huasito;embassy;eve;export;export”a”;faros;gitannes;gold coast;habano;john player & sons;kent;kools;l&m;latino;le mans;liberty;liggett select;lucky strike;mayfair;newport;newral;pall mall;parisiennes;parliament;peter stuyvesant;pitillo;prelude;puro;regal;rodeo;supremos;tigres;viceroy;winston, Alcohol-Drug, mild, false, false, true, embeddable, true, true, false, , peter pan
хз, ru, , Vulgarity, high, false, true, true, exactMatch, false, true, false, 
shageluk, es, , Places, medium, false, false, false, nonEmbeddable, false, false, false, Ciudad de Alaska.
さかとったり, ja, sakatottari;さかとったり;サカトッタリ, Microsoft;Sexual;Vulgarity, medium, false, false, true, embeddable, false, true, false, sumo move; but also sex position; Reverse To~tsutari
correrse, es, , Vulgarity, medium, false, false, true, nonEmbeddable, false, true, true, "To get off, to have an orgasm"
valverde, es, , Places, medium, false, false, false, nonEmbeddable, false, false, false, City in República Dominicana
geilen, nl, geilaard;geilen;geilpompen;geilpomper, Sexual, high, true, false, true, nonEmbeddable, false, true, false, "Horny, sexually aroused"
panola, es, , Places, medium, false, false, false, nonEmbeddable, false, false, false, Ciudad de Alabama.
ふれなむ, ja, furenamu;フレナム, Microsoft;Sexual;Vulgarity, severe, false, false, true, embeddable, false, true, false, Genital piercing 
zebb, no, zebb, Sexual, severe, false, false, false, embeddable, true, false, false, sister fucker
hamburger, de, , PII, medium, false, false, true, embeddable, true, true, false, 
teibolera, es, cotorra;geisha;pardo;prostibulo;teibolera;teibolero;tortacalle;tortacalles, Disney, high, false, false, true, embeddable, true, true, false, 
teibolero, es, cotorra;geisha;pardo;prostibulo;teibolera;teibolero;tortacalle;tortacalles, Disney, high, false, false, true, embeddable, true, true, false, 
みやまほんて, ja, miyamahonte;みやまほんて;ミヤマホンテ, Microsoft;Sexual;Vulgarity, high, false, false, true, embeddable, false, true, false, A name of sex positions. (Traditional expression); mountains of the hand
casquete, es, , Microsoft, medium, false, false, true, embeddable, false, true, false, 
córneo, pt, , Sexual, medium, true, false, true, embeddable, false, true, false, 
