Word,Match Type,Language,Type,Severity,Substring Match,Language,Type,Severity,Substring Match,...
user_dmyilwbq_new,not_exact,,,,er,en,Disney,medium
user_okmernqe_new,not_exact,,,,er,en,Disney,medium
user_vkndnbka_new,not_exact,,,,er,en,Disney,medium
user_jyazijid_new,not_exact,,,,er,en,Disney,medium
BenDover,not_exact,,,,er,en,Disney,medium
fgfdgfdg0909,not_exact,,,,fg,en,Bigotry-Racism;Bullying;Disney,medium
user_zfcdadle_new,not_exact,,,,er,en,Disney,medium
bigjjacobson,not_exact,,,,bs,en,Vulgarity,medium
strykker68,not_exact,,,,er,en,Disney,medium,kk,en,Disney,medium,st,en,Disney;PII,medium
605First,not_exact,,,,st,en,Disney;PII,medium
panty_hose,not_exact,,,,ho,en,Bullying,medium,hos,en,Bullying;Disney;Sexual,medium,panty,en,Grooming;Sexual,medium
xbytchx,not_exact,,,,bytch,en,Bullying;Sexual;Vulgarity,medium
WparkCFB,not_exact,,,,fb,en,PII,medium
werwefsdf,not_exact,,,,er,en,Disney,medium
cconradx,not_exact,,,,cc,en,Disney,medium
SandyHook,not_exact,,,,ho,en,Bullying,medium,hoo,en,Vulgarity,mild,yhoo,en,Disney;Sexual,medium
Christinezl9d2e_,not_exact,,,,st,en,Disney;PII,medium,christ,en,Bigotry-Racism,medium
atomantic,not_exact,,,,anti,en,Disney,mild
aleecek,not_exact,,,,ale,en,Alcohol-Drug,mild
david053,not_exact,,,,vi,en,Disney;PII,medium
suqacoq,not_exact,,,,coq,en,Sexual,medium
TitchBits,not_exact,,,,tit,en,Microsoft;Vulgarity,medium
Rex93676,not_exact,,,,ex,en,Disney,medium
INGRAMOS1,not_exact,,,,mo,en,Disney,medium,ngr,en,Bigotry-Racism,medium,mos,en,Grooming,medium,gram,en,PII,medium
Jack48154,not_exact,,,,ck,en,Disney,mild
fockerindiaz,not_exact,,,,di,en,Disney,medium,er,en,Disney,medium,ck,en,Disney,mild,foc,en,Vulgarity,high,fock,en,Microsoft;Vulgarity,high
diebamadie,not_exact,,,,di,en,Disney,medium,die,en,Disney;Harm-Abuse;Threats,mild
Stabone817,not_exact,,,,stab,en,Violence,mild,st,en,Disney;PII,medium,abo,en,Microsoft,medium
Stoneware2000,not_exact,,,,st,en,Disney;PII,medium
Indotexan,not_exact,,,,ex,en,Disney,medium
Pi55M4sT0r,not_exact,,,,st,en,Disney;PII,medium
CuminLover,not_exact,,,,er,en,Disney,medium,cum,en,Microsoft;Sexual,medium
toledoj4,not_exact,,,,ed,en,Disney,medium
razz ma tazz,not_exact,,,,azz,en,Microsoft;Sexual;Vulgarity,medium
jackson52887,not_exact,,,,ck,en,Disney,mild
jeromej55,not_exact,,,,er,en,Disney,medium
PeterFile69,not_exact,,,,69,en,Sexual;Vulgarity,medium,er,en,Disney,medium,peter,en,Microsoft,mild
ereyes26,not_exact,,,,er,en,Disney,medium
ovenbakedjews,not_exact,,,,jew,en,Bigotry-Racism;Microsoft,medium,ed,en,Disney,medium
Oberwankernobi,not_exact,,,,wank,en,Bullying;Microsoft;Vulgarity,medium,er,en,Disney,medium,nob,en,Vulgarity,medium,wanker,en,Bullying;Microsoft;Vulgarity,medium
Cheng1165,not_exact,,,,eng,en,Disney,medium
AtlantaRangers,not_exact,,,,er,en,Disney,medium,ers,en,Disney,medium,ger,en,Disney,medium
shekhvi,not_exact,,,,hek,en,Bullying,mild,vi,en,Disney;PII,medium
Crystal97640,not_exact,,,,st,en,Disney;PII,medium
bengalsredwings,not_exact,,,,ed,en,Disney,medium,eng,en,Disney,medium
emkcuf,not_exact,,,,kcuf,en,Vulgarity,medium
tim_dere,not_exact,,,,er,en,Disney,medium
Steph032697,not_exact,,,,69,en,Sexual;Vulgarity,medium,st,en,Disney;PII,medium
Yes I came to troll,not_exact,,,,cam,en,Grooming,medium
pompper316,not_exact,,,,er,en,Disney,medium,pom,en,Microsoft,medium
SkeeterBoy1313,not_exact,,,,er,en,Disney,medium,skeet,en,Disney;Sexual,medium
ne14abj,not_exact,,,,bj,en,Grooming;Sexual,medium
Breana2444,not_exact,,,,ana,en,Sexual,mild
poop,exact,en,Microsoft;Vulgarity,medium,poo,en,Vulgarity,mild
