Word,Flags
ass,35638
420,21480
butt,5257
cock,3664
poop,1590
rape,1279
shit,1172
fag,983
bitch,691
badass,537
tits,426
pussy,261
piss,205
fuq,203
satan,185
nipple,134
porn,130
whore,119
sperm,103
suicide,80
cunt,67
penis,59
omfg,51
biotch,50
boobies,46
spooge,40
testicle,24
bytch,15
